mit,range_min,range_max,n_rows_unfiltered,n_rows_filtered,output_file
1,1.1,1.5,81,6,AD_demo/data/ad_skinny_matpat_10/df_mt1_r1.1-r1.5.csv
1,0.9,1.1,4160931,282055,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.9-r1.1.csv
1,0.55,0.9,2418,7,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.55-r0.9.csv
0,0.55,0.9,501,0,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.55-r0.9.csv
1,0.45,0.55,4689982,61296,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.45-r0.55.csv
0,0.45,0.55,1638264,7411,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.45-r0.55.csv
1,0.275,0.45,4675199,194098,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.275-r0.45.csv
0,0.275,0.45,1742288,28162,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.275-r0.45.csv
1,0.225,0.275,1359962,8427,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.225-r0.275.csv
0,0.225,0.275,2506672,7978,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.225-r0.275.csv
1,0.1375,0.225,14648180,237113,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.1375-r0.225.csv
0,0.1375,0.225,18688027,208530,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.1375-r0.225.csv
1,0.1125,0.1375,941012,8866,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.1125-r0.1375.csv
0,0.1125,0.1375,3555122,18912,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.1125-r0.1375.csv
1,0.06875,0.1125,10352345,334350,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.06875-r0.1125.csv
0,0.06875,0.1125,32893953,980217,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.06875-r0.1125.csv
1,0.05625,0.06875,14352316,70910,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.05625-r0.06875.csv
0,0.05625,0.06875,49757994,162117,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.05625-r0.06875.csv
1,0.034375,0.05625,1441743,22365,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.034375-r0.05625.csv
0,0.034375,0.05625,14389910,260329,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.034375-r0.05625.csv
1,0.028125,0.034375,20737172,464124,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.028125-r0.034375.csv
0,0.028125,0.034375,147043532,2909858,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.028125-r0.034375.csv
1,0.0171875,0.028125,493169,15780,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.0171875-r0.028125.csv
0,0.0171875,0.028125,6209748,186255,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.0171875-r0.028125.csv
1,0.0140625,0.0171875,14393631,518034,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.0140625-r0.0171875.csv
0,0.0140625,0.0171875,235778885,8068065,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.0140625-r0.0171875.csv
1,0.00859375,0.0140625,6406,162,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.00859375-r0.0140625.csv
0,0.00859375,0.0140625,311232,18210,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.00859375-r0.0140625.csv
1,0.00703125,0.00859375,888422,41450,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0.00703125-r0.00859375.csv
0,0.00703125,0.00859375,64299924,3673485,AD_demo/data/ad_skinny_matpat_10/df_mt0_r0.00703125-r0.00859375.csv
1,0,2.197265625e-4,419913987,2787587,AD_demo/data/ad_skinny_matpat_10/df_mt1_r0-r0.0002197265625.csv
